Altium Designer Pick and Place Locations
C:\Users\c14466\Microchip Technology, Inc\MCU32 Applications - MCU32 HW\Sustaining\svn\Boards\16-07369\PCB Files\Rev 2.0\Design Files\Gerbers\Pick Place for 05-10912_R2.0(16-10912_R2.0).txt

========================================================================================================================
File Design Information:

Date:       18/12/19
Time:       14:50
Revision:   Not in VersionControl
Variant:    16-10912_R2.0
Units used: mil

Designator Comment                                                                         Layer       Footprint                                                      Center-X(mil) Center-Y(mil) Rotation Description                                                             
C7         "Capacitor NP"                                                                  BottomLayer CAP_C_0201                                                     3169.000      914.000       90       Capacitor                                                               
C8         "Capacitor NP"                                                                  BottomLayer CAP_C_0201                                                     3431.000      896.000       90       Capacitor                                                               
C10        "Capacitor NP"                                                                  TopLayer    CAP_C_0201                                                     2874.000      1788.000      270      Capacitor                                                               
C11        "Capacitor NP"                                                                  TopLayer    CAP_C_0201                                                     2793.665      718.000       180      Capacitor                                                               
J1         "Header 1x2"                                                                    TopLayer    HDR_M_2.54_1X2_RA                                              1965.000      1340.000      270      ""                                                                      
MH1        120Rnd                                                                          TopLayer    MTGHOLE_120_-_plated,wSilk                                     5189.961      125.000       0        "0.120 Dia hole, plated, wSilk"                                         
MH2        120Rnd                                                                          TopLayer    MTGHOLE_120_-_plated,wSilk                                     125.000       125.000       0        "0.120 Dia hole, plated, wSilk"                                         
MH3        120Rnd                                                                          TopLayer    MTGHOLE_120_-_plated,wSilk                                     125.000       2875.000      0        "0.120 Dia hole, plated, wSilk"                                         
MH4        120Rnd                                                                          TopLayer    MTGHOLE_120_-_plated,wSilk                                     5190.000      2875.000      0        "0.120 Dia hole, plated, wSilk"                                         
U1         "PIC32MZXXXXECX144 LQFP-144_TQFP-144"                                           TopLayer    TQFP-144_16x16                                                 3237.001      1270.999      180      ""                                                                      
Y1         "OSCILLATOR DSC60XX"                                                            TopLayer    OSCILLATOR_DSC60000L2.5W2.0H0.89                               2952.606      1765.520      270      ""                                                                      
Y2         OSC_DSC6083CE2A_3225                                                            TopLayer    OSCILLATOR_DSC1001_L3.2W2.5H0.85                               2806.003      807.003       180      ""                                                                      
R200       Resistor                                                                        BottomLayer RES_C_0402                                                     1117.000      1215.000      270      Resistor                                                                
C219       "Capacitor NP"                                                                  BottomLayer CAP_C_0402                                                     1187.716      1315.000      360      Capacitor                                                               
C216       "Capacitor NP"                                                                  TopLayer    CAP_C_0603                                                     1284.000      1406.496      270      Capacitor                                                               
R713       Resistor                                                                        TopLayer    RES_C_0402                                                     1194.000      2569.000      180      Resistor                                                                
Q703       "Transistor MOS-N GSD"                                                          BottomLayer SOT-23-3                                                       926.000       2350.276      360      "Transistor MOS"                                                        
R743       Resistor                                                                        BottomLayer RES_C_0603                                                     914.000       2230.000      180      Resistor                                                                
U702       "24XX01_02_04_08_16_32_64_128_256_512_1025 SOIC-8_SOIJ-8_TSSOP-8_PDIP-8_MSOP-8" BottomLayer TSSOP-8                                                        527.386       2468.142      270      "EEPROM I2C"                                                            
C703       "Capacitor NP"                                                                  BottomLayer CAP_C_0201                                                     822.665       2511.000      180      Capacitor                                                               
C713       "Capacitor NP"                                                                  TopLayer    CAP_C_0201                                                     409.000       1986.000      90       Capacitor                                                               
R727       Resistor                                                                        TopLayer    RES_C_0402                                                     3681.000      1825.000      180      Resistor                                                                
C9         "Capacitor NP"                                                                  BottomLayer CAP_C_0201                                                     3444.000      1635.000      270      Capacitor                                                               
J702       "Header 1x6"                                                                    BottomLayer HDR_F_1.27_1x6_U_TH_V_SAM_SLM-106-01-G-S                       3579.000      1893.000      180      ""                                                                      
D203       "Diode Schottky"                                                                BottomLayer SOD-123FL                                                      629.008       739.000       360      "DIO SCTKY RB160M-60TR 550mV 1A 60V SMD SOD-123F"                       
R2         Resistor                                                                        BottomLayer RES_C_0805                                                     2296.000      2233.000      270      Resistor                                                                
R3         Resistor                                                                        BottomLayer RES_C_0805                                                     2297.000      2159.000      270      Resistor                                                                
R4         Resistor                                                                        BottomLayer RES_C_0805                                                     1956.402      1696.000      360      Resistor                                                                
R5         Resistor                                                                        BottomLayer RES_C_0805                                                     2031.598      1696.000      360      Resistor                                                                
R6         Resistor                                                                        BottomLayer RES_C_0402                                                     2381.000      2269.000      180      Resistor                                                                
R7         Resistor                                                                        BottomLayer RES_C_0402                                                     2382.716      2167.000      180      Resistor                                                                
R8         Resistor                                                                        BottomLayer RES_C_0402                                                     1929.284      1872.000      360      Resistor                                                                
R9         Resistor                                                                        BottomLayer RES_C_0402                                                     1929.000      1827.000      360      Resistor                                                                
C205       "Capacitor NP"                                                                  BottomLayer CAP_C_0805                                                     1466.000      1136.000      180      Capacitor                                                               
C206       "Capacitor NP"                                                                  BottomLayer CAP_C_0805                                                     1465.402      1214.000      180      Capacitor                                                               
+5V        "Test Point"                                                                    TopLayer    CON_TP_TH_V_RED_KEC_5000                                       1605.000      1321.000      90       "Test Point"                                                            
J700       ZX62D-AB-5P8(30)                                                                TopLayer    CON_USB_Micro-AB_SMD_RA_HIR_ZX62D-AB-5P8(30)                   114.279       1814.591      270      "CON USB2.0 Micro-AB Female ZX62D-AB-5P8(30) TOP MOUNT TH R/A"          
